mol_id,unique_key,energy
4518,4518__-165,2.0533843
4518,4518__-150,3.9995823
4518,4518__-135,7.207651
4518,4518__-120,11.187114
4518,4518__-105,15.082033
4518,4518__-90,16.09901
4518,4518__-75,11.252923
4518,4518__-60,7.106862
4518,4518__-45,3.7196007
4518,4518__-30,1.5566938
4518,4518__-15,0.44368768
4518,4518__0,0.0
4518,4518__15,0.29805994
4518,4518__30,1.4188398
4518,4518__45,3.6907291
4518,4518__60,7.0925627
4518,4518__75,11.303031
4518,4518__90,16.11766
4518,4518__105,14.948049
4518,4518__120,11.147474
4518,4518__135,7.244588
4518,4518__150,4.132088
4518,4518__165,2.2172685
4518,4518__180,1.6703076
4518,4518__-180,1.6703076
2482,2482__-165,5.7493286
2482,2482__-150,5.111476
2482,2482__-135,4.031122
2482,2482__-120,2.504593
2482,2482__-105,0.95886266
2482,2482__-90,0.015349388
2482,2482__-75,0.23129869
2482,2482__-60,1.5857241
2482,2482__-45,3.5818508
2482,2482__-30,5.2679386
2482,2482__-15,6.253042
2482,2482__0,6.4791956
2482,2482__15,6.0564814
2482,2482__30,4.883847
2482,2482__45,3.3136957
2482,2482__60,1.5298343
2482,2482__75,0.27376556
2482,2482__90,0.0
2482,2482__105,1.0581691
2482,2482__120,2.6757305
2482,2482__135,4.162716
2482,2482__150,5.3560457
2482,2482__165,5.802764
2482,2482__180,5.899474
2482,2482__-180,5.899474
1626,1626__-165,4.7293763
1626,1626__-150,2.4737382
1626,1626__-135,0.9211199
1626,1626__-120,0.0888319
1626,1626__-105,0.0
1626,1626__-90,0.32880855
1626,1626__-75,0.3286271
1626,1626__-60,0.64866114
1626,1626__-45,1.6873572
1626,1626__-30,3.3293433
1626,1626__-15,5.5201516
1626,1626__0,7.4800744
1626,1626__15,5.5614953
1626,1626__30,3.3343925
1626,1626__45,1.6651433
1626,1626__60,0.6875684
1626,1626__75,0.36968386
1626,1626__90,0.33236432
1626,1626__105,0.052844524
1626,1626__120,0.11665988
1626,1626__135,0.86724937
1626,1626__150,2.4569712
1626,1626__165,4.584761
1626,1626__180,6.820993
1626,1626__-180,6.820993
1644,1644__-165,0.0
1644,1644__-150,0.07032502
1644,1644__-135,0.6700355
1644,1644__-120,1.7758923
1644,1644__-105,3.0800729
1644,1644__-90,3.84378
1644,1644__-75,2.831016
1644,1644__-60,1.4814051
1644,1644__-45,0.5247328
1644,1644__-30,0.27192235
1644,1644__-15,0.62617874
1644,1644__0,1.1802807
1644,1644__15,0.62203074
1644,1644__30,0.23233056
1644,1644__45,0.434968
1644,1644__60,1.3534001
1644,1644__75,2.6537359
1644,1644__90,3.802073
1644,1644__105,3.1585777
1644,1644__120,1.8729618
1644,1644__135,0.80885947
1644,1644__150,0.13728881
1644,1644__165,0.05934131
1644,1644__180,0.23396707
1644,1644__-180,0.23396707
2935,2935__-165,1.0782591
2935,2935__-150,1.5219909
2935,2935__-135,2.7669976
2935,2935__-120,4.903495
2935,2935__-105,7.7802124
2935,2935__-90,10.748125
2935,2935__-75,8.748163
2935,2935__-60,5.7309656
2935,2935__-45,3.071838
2935,2935__-30,1.2148153
2935,2935__-15,0.25692868
2935,2935__0,0.0
2935,2935__15,0.23016858
2935,2935__30,1.1253798
2935,2935__45,2.9188635
2935,2935__60,5.484443
2935,2935__75,8.569777
2935,2935__90,10.780804
2935,2935__105,7.841751
2935,2935__120,5.0126243
2935,2935__135,2.8421414
2935,2935__150,1.6202307
2935,2935__165,1.1997705
2935,2935__180,1.18645
2935,2935__-180,1.18645
2875,2875__-165,8.766106
2875,2875__-150,4.094204
2875,2875__-135,1.1939511
2875,2875__-120,0.111927986
2875,2875__-105,0.5437658
2875,2875__-90,1.6727164
2875,2875__-75,2.1646793
2875,2875__-60,2.705709
2875,2875__-45,3.7081754
2875,2875__-30,4.961707
2875,2875__-15,7.066265
2875,2875__0,9.571411
2875,2875__15,6.8887815
2875,2875__30,4.61852
2875,2875__45,3.3028948
2875,2875__60,2.559207
2875,2875__75,2.1675181
2875,2875__90,1.5961056
2875,2875__105,0.4938116
2875,2875__120,0.0
2875,2875__135,0.9768921
2875,2875__150,3.936033
2875,2875__165,8.488392
2875,2875__180,13.548981
2875,2875__-180,13.548981
5280,5280__-165,0.0
5280,5280__-150,0.13645399
5280,5280__-135,0.6399418
5280,5280__-120,1.3224368
5280,5280__-105,1.9716887
5280,5280__-90,2.5648386
5280,5280__-75,1.6348678
5280,5280__-60,0.93355
5280,5280__-45,0.8313838
5280,5280__-30,1.4464793
5280,5280__-15,2.4706237
5280,5280__0,3.3009672
5280,5280__15,2.592364
5280,5280__30,1.5804627
5280,5280__45,1.0041473
5280,5280__60,1.1007241
5280,5280__75,1.7469038
5280,5280__90,2.6417944
5280,5280__105,2.0261624
5280,5280__120,1.3430789
5280,5280__135,0.7021098
5280,5280__150,0.19261122
5280,5280__165,0.03246236
5280,5280__180,0.099466205
5280,5280__-180,0.099466205
5110,5110__180,2.4938393
5110,5110__-180,2.4938393
5110,5110__-165,3.7929196
5110,5110__-150,4.1769695
5110,5110__-135,3.517746
5110,5110__-120,2.2908125
5110,5110__-105,1.1899517
5110,5110__-90,0.57939124
5110,5110__-75,0.24266386
5110,5110__-60,0.21708846
5110,5110__-45,0.42456567
5110,5110__-30,0.7755513
5110,5110__-15,1.4206601
5110,5110__0,2.4917567
5110,5110__15,3.914002
5110,5110__30,4.5842047
5110,5110__45,4.197405
5110,5110__60,2.8965173
5110,5110__75,1.4435972
5110,5110__90,0.5279665
5110,5110__105,0.18331099
5110,5110__120,0.0
5110,5110__135,0.18282247
5110,5110__150,0.67326534
5110,5110__165,1.4166472
2873,2873__180,8.063229
2873,2873__-180,8.063229
2873,2873__-165,4.3487744
2873,2873__-150,1.4372824
2873,2873__-135,0.14269423
2873,2873__-120,0.039053917
2873,2873__-105,0.6049998
2873,2873__-90,0.99034286
2873,2873__-75,0.5561123
2873,2873__-60,0.07859802
2873,2873__-45,0.1540749
2873,2873__-30,1.1698394
2873,2873__-15,3.4256904
2873,2873__0,6.118211
2873,2873__15,3.354247
2873,2873__30,1.1093501
2873,2873__45,0.07355595
2873,2873__60,0.0
2873,2873__75,0.3928678
2873,2873__90,0.8352783
2873,2873__105,0.5476911
2873,2873__120,0.065579176
2873,2873__135,0.27614784
2873,2873__150,1.5864687
2873,2873__165,4.4539247
2026,2026__180,10.375431
2026,2026__-180,10.375431
2026,2026__-165,7.517492
2026,2026__-150,4.3384285
2026,2026__-135,1.9482243
2026,2026__-120,0.5877866
2026,2026__-105,0.1895203
2026,2026__-90,0.30487055
2026,2026__-75,0.1615135
2026,2026__-60,0.27766412
2026,2026__-45,0.8954945
2026,2026__-30,1.786027
2026,2026__-15,3.133688
2026,2026__0,4.4322953
2026,2026__15,3.2892203
2026,2026__30,2.046181
2026,2026__45,0.96552724
2026,2026__60,0.2702033
2026,2026__75,0.0
2026,2026__90,0.16695756
2026,2026__105,0.21089262
2026,2026__120,0.7176315
2026,2026__135,2.108114
2026,2026__150,4.2699623
2026,2026__165,7.4249725
4115,4115__-165,1.563231
4115,4115__-150,0.35602546
4115,4115__-135,0.05487919
4115,4115__-120,0.56383014
4115,4115__-105,1.5995089
4115,4115__-90,2.299763
4115,4115__-75,1.7088871
4115,4115__-60,0.70577407
4115,4115__-45,0.07365489
4115,4115__-30,0.31302953
4115,4115__-15,1.5710022
4115,4115__0,3.2077992
4115,4115__15,1.4841249
4115,4115__30,0.28086495
4115,4115__45,0.0
4115,4115__60,0.64927423
4115,4115__75,1.6241875
4115,4115__90,2.2682302
4115,4115__105,1.6427436
4115,4115__120,0.57265615
4115,4115__135,0.07654476
4115,4115__150,0.3657198
4115,4115__165,1.6329195
4115,4115__180,3.3021975
4115,4115__-180,3.3021975
3,3__-165,0.1213218
3,3__-150,1.1280037
3,3__-135,3.0808387
3,3__-120,5.7160487
3,3__-105,8.560545
3,3__-90,9.674622
3,3__-75,6.3315034
3,3__-60,3.505824
3,3__-45,1.4597636
3,3__-30,0.54349804
3,3__-15,0.4594698
3,3__0,0.7237841
3,3__15,0.4109167
3,3__30,0.44621527
3,3__45,1.3972925
3,3__60,3.4118137
3,3__75,6.278055
3,3__90,9.756392
3,3__105,8.740187
3,3__120,5.869068
3,3__135,3.1451826
3,3__150,1.1391202
3,3__165,0.15839398
3,3__180,0.0
3,3__-180,0.0
177,177__-165,4.231525
177,177__-150,1.8983352
177,177__-135,0.5097413
177,177__-120,0.08287054
177,177__-105,0.4360032
177,177__-90,1.0011721
177,177__-75,0.9886522
177,177__-60,0.8323276
177,177__-45,0.90172744
177,177__-30,1.1923083
177,177__-15,1.8044716
177,177__0,2.7240367
177,177__15,1.8986406
177,177__30,1.3228772
177,177__45,0.9924946
177,177__60,0.8897339
177,177__75,0.86038685
177,177__90,0.7730348
177,177__105,0.331784
177,177__120,0.0
