mol_id,ligand invalidity,ligand invalid atoms,ligand atomic energies,ligand HES,ligand atom types,ligand information entropy,ligand information entropy invalidity,pose invalidity,bound ligand energy,isolated ligand energy,binding energy,pose HES
25,1,"[(27, 'H', 39.856)]","[ 11.713028     2.1964061   -2.958981    44.925617     0.42518
   1.2743267    0.7393596    0.58344567  -7.389347     1.6980121
  -2.750494     5.0829206   22.737978    -6.116851    -4.8247848
   7.062089     7.3165894   -1.8219178    6.558684   -16.076035
  -4.777468    -4.3358183   -3.0263038    2.1676278    1.8262813
   1.7450022   39.85593     -0.1515262    2.70122      4.2428155
  -3.2704458    8.615617    -2.5616126   -3.6622114   -3.0942585
  -0.8297321    5.599033    -3.1179597    1.3872094    1.9070385
  -1.2506783    0.3456429 ]",5.795930328369138,"['C' 'C' 'O' 'O' 'O' 'O' 'C' 'C' 'C' 'C' 'C' 'C' 'O' 'C' 'C' 'C' 'C' 'O'
 'C' 'C' 'C' 'C' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H']",0.30423722338498305,0,1,137.85078,110.690636,157.87695,5.795930328369138
26,1,"[(15, 'C', 42.533), (16, 'C', 86.209), (17, 'C', 53.627), (22, 'H', 65.933), (36, 'H', 115.204)]","[-8.5572853e+00 -4.2414522e+00 -1.9551768e+00  1.4199765e+01
 -5.2171826e+00  1.2628080e+00 -5.6518068e+00  3.5838232e+00
 -2.5062811e+00 -7.7943496e-02 -8.8545799e+00 -3.1642506e+00
 -3.7731345e+00 -1.9279446e+01  4.2533150e+01  8.6208641e+01
  5.3626816e+01 -9.2190754e-01 -6.0018005e+00 -2.8191659e+00
 -3.2859147e+00  6.5932983e+01 -2.5907724e+00 -2.1243834e+00
 -2.5130677e+00  1.8964109e+00 -2.5673823e+00 -2.8283656e+00
  2.4155214e+00 -3.7390151e+00 -3.7246637e+00  3.8776174e+00
  2.2333113e+01  3.0557610e+01 -9.2763004e+00  1.1520437e+02
 -1.9243023e+00 -2.2069726e+00 -2.0310087e+00]",196.9559585571289,"['N' 'C' 'C' 'C' 'C' 'C' 'O' 'C' 'O' 'C' 'C' 'C' 'O' 'C' 'C' 'C' 'C' 'C'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H']",0.8608195193209601,0,1,747.0245,331.79904,793.209,196.9559585571289
27,1,"[(36, 'H', 35.21)]","[ -5.9779477   -0.88036376  -1.4949225    6.0980744   -8.074652
  -9.190187     5.396007     1.658879    23.347588    28.03462
   3.4552312   -6.712499   -13.328427     6.7186823   -7.934694
  -7.8695683    1.1452334   -4.2802467   -4.614451    -0.29837483
  -0.63985395  -3.0947535   -1.9694476   12.525465   -11.790213
  13.126622    -7.2782683  -10.14695     -8.50692     -0.41561952
  -4.555042    -0.6737115   -2.1509447   -2.0463183    8.687352
  35.210148    -2.424758     4.620054     1.0772493    1.7592164
   7.4030833   17.450474     1.6534035   -0.6706361    0.22947708
  -2.0424001    0.60333973   2.9746687   -1.2489479    5.8262763
  -3.0946696   -2.7030394   -2.9093094   -2.5272968    3.5152626
   1.1940782    6.778656    13.605246    -0.2050596    8.344139
  -0.10607947   4.533686  ]",1.1501478576660134,"['N' 'N' 'C' 'C' 'C' 'C' 'O' 'C' 'S' 'C' 'O' 'C' 'C' 'C' 'C' 'C' 'O' 'C'
 'C' 'O' 'O' 'C' 'O' 'O' 'C' 'O' 'C' 'C' 'C' 'O' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.9074089871224873,0,1,1100.5278,85.11563,673.7617,1.1501478576660134
28,0,,"[  8.382463    -4.714175    11.899085     6.8692036   -5.5912166
   0.373241    12.046417    -3.0566635    3.1918724   -7.977098
 -10.620183    16.164988     3.957737    -3.3542936   -7.5850916
   5.111818    -3.9572787   -2.9396331   16.137054   -21.592888
   5.4302716  -11.939722     6.6416674    4.386971     0.10096889
 -18.577747    -1.3206353    3.7884476  -19.095238     5.4555635
  -6.1923175    0.16689603  -1.2542865   -0.28158072  -7.4921494
 -10.031013     2.4034064    4.7948      -9.014331     8.105748
   6.095725    -8.489162     3.3050904   -0.7711999   -1.4116077
  -1.8122842   -2.1969452    1.4795395    9.286116    -0.9637985
   3.835278    -1.730083     6.9817123   -0.15556855  -3.0359843
  -2.5155497   -4.0069885   -4.1289616   -1.4096141   -0.9991656
   1.3630371    6.662638    -5.0602374   -3.7986605    3.9365008
   1.2142204    4.207539    -2.6755517   -2.0626311   -2.0187626
   1.0189557   -4.9722767   -5.333827     3.2251956   -3.5609124
  -3.8861709   -2.1471524   -4.0846047   -2.9468703 ]",0.0,"['O' 'C' 'C' 'N' 'C' 'C' 'C' 'C' 'C' 'C' 'O' 'C' 'C' 'C' 'C' 'N' 'C' 'C'
 'C' 'C' 'N' 'C' 'C' 'O' 'O' 'C' 'C' 'O' 'C' 'O' 'O' 'C' 'N' 'O' 'C' 'C'
 'O' 'C' 'C' 'C' 'C' 'N' 'C' 'C' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,1,20.79429,-54.741943,122.44922,0.0
29,0,,"[  8.621374     3.9297376    7.4911504    4.6833863  -13.256118
  -1.2321626   -2.5590892  -11.609731   -10.029372    -7.4901485
  -0.25343195  -5.5503187   16.262926    -7.043532    -7.018089
   0.5863258  -27.3711      -7.059872    -1.0621815   -1.5793382
  -7.0149612    2.00198     -8.805669    12.111427    -3.1696658
  -4.647181    -0.9408734  -22.65326      0.5684718    0.21308595
 -11.892095     1.3579481   11.522483    12.127206    -0.91988325
  -3.1018727   -3.734856    -2.9212492   -2.4382684   -0.6989809
  -2.599855     3.079028    -1.983144    -1.8706447   -0.53240347
  -6.0949574    4.4829836   -1.8920301   -4.241098    -2.3700385
  -1.8590479   -5.2351694    1.7796692    3.6067302 ]",0.0,"['C' 'C' 'C' 'C' 'C' 'C' 'C' 'F' 'F' 'C' 'C' 'N' 'C' 'F' 'C' 'N' 'C' 'O'
 'N' 'C' 'C' 'O' 'C' 'O' 'O' 'C' 'C' 'C' 'O' 'C' 'C' 'O' 'O' 'O' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,0,-121.75564,-110.30577,-2.8964844,0.0
30,0,,"[ 14.882154    15.017465     2.4434786   -0.46884397   6.190542
   7.5121813   -8.206055    -2.608214    -6.412212     3.4719758
  -3.7845314    3.091382    -7.6913443  -16.079731    -5.0930824
  -2.8764217    0.03464347  -4.1601315   10.317052     4.993768
  18.083448    -0.34435856  -3.5993092   14.521068    -1.354757
  -2.0845714    5.5045953    4.863684     9.379624    -2.1694508
  -2.899313    -1.2772144   -4.458255    -1.9643186    5.2873373
   1.0257057   -3.3816776   -4.623318     2.2296405    2.0709457
  -4.279638  ]",0.0,"['C' 'C' 'C' 'C' 'O' 'O' 'C' 'C' 'C' 'N' 'C' 'O' 'C' 'C' 'O' 'N' 'C' 'C'
 'O' 'C' 'O' 'N' 'C' 'C' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H']",0.9998652543408844,0,0,35.10244,41.103943,-0.8671875,0.0
31,0,,"[  5.263605    10.1086855   -0.5737421    6.799096     6.1211495
   0.09581611  -3.0522654    2.9218998  -11.832835     3.386844
   1.8555758   -3.464709    13.295508     7.024279    -2.8178034
  -5.1889825   -9.196946     5.8213887    5.2718086  -11.216658
   1.7369698    7.455424    -0.27076802   2.9709134   -8.460166
  -5.7601404    7.376016     6.5723753    0.2205171    3.3278458
  -4.1569996    0.28729156   2.4751422    5.3333287   -4.3075743
   2.8676906    1.0221101    0.7736862   -3.271807     2.2714202
  -3.785286    -2.2451406    2.6397789   -1.7457677   -2.9868112
  -3.4383616    1.3536457   -0.6159245   -1.3060726    2.1624618
  -4.589259     3.822358    -0.7755125   -3.0097604   -2.7747684
  -3.52013      2.7689376   -1.5501492   -0.5608956    0.6362477
   2.4969652   -3.045318     5.283425     4.020493     4.496028
  -0.5316609 ]",0.0,"['C' 'C' 'C' 'C' 'O' 'C' 'C' 'C' 'C' 'O' 'C' 'C' 'O' 'C' 'C' 'C' 'C' 'C'
 'O' 'C' 'C' 'C' 'O' 'C' 'O' 'C' 'O' 'O' 'O' 'C' 'C' 'O' 'C' 'C' 'C' 'O'
 'O' 'O' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,1,49.468315,32.28451,51.71289,0.0
32,0,,"[  0.37738937   1.6404879    0.64709234  -4.008631    -4.5897574
  -7.402394    -4.9145308   -5.268741    -2.1702423    1.9088604
  -1.1454461   32.19126     -2.7680154    9.835059    20.762625
  11.548307     0.15048362 -11.816416     2.1711442    8.416266
  -0.5842531   -7.984366     7.3773155    4.0697265   -2.984131
  -2.537282    -6.167372     1.8091244    0.4512354    1.8499699
  -1.2670699    6.761301     0.9020401    4.605614     0.87584364
 -12.589449    30.860226    -3.063496    -0.64540493  -4.138258
  -1.3015639   -2.3235977   -2.1930158   -0.27103063  -6.1904216
  -2.780601     0.04617063  10.289276    -2.5861928   -0.47963157
   1.4352003   -3.133528     0.5363184    2.8367991    3.971953
   2.865337    -4.281329     1.5596982   -3.85343   ]",0.0,"['C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'N' 'C' 'O' 'C' 'C' 'O' 'C' 'O' 'C'
 'C' 'C' 'O' 'C' 'C' 'C' 'O' 'C' 'C' 'O' 'C' 'O' 'C' 'C' 'O' 'C' 'N' 'O'
 'O' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H']",0.6154965242848011,0,1,75.61486,57.312527,46.359375,0.0
33,1,"[(34, 'O', 73.682)]","[ 4.0615633e-01  1.8309399e+00  6.4698482e-01 -3.9179499e+00
 -4.4666190e+00 -8.1346226e+00 -4.8508220e+00 -5.1322289e+00
 -2.9089689e+00  1.5197378e+00 -1.1196617e+00  3.2166565e+01
 -2.7056408e+00  9.8315029e+00  2.0762762e+01  1.1637267e+01
  1.5048493e-01 -1.1298545e+01  2.0364327e+00 -5.6501527e+00
 -8.3914697e-01 -8.0191631e+00  1.3109785e+01  6.7858081e+00
 -3.6260433e+00 -2.1980178e+00 -6.6141529e+00  3.4248018e+00
 -1.2621556e-01  6.9732208e+00 -3.3302423e-01 -2.3214653e-01
  1.1219776e+00  7.3681549e+01 -3.5135717e+00  1.2849385e+01
  1.4213285e+01 -1.6854200e+00  1.5364990e+01 -1.6948580e+00
  3.6934197e+00 -3.0634966e+00 -6.8246430e-01 -4.1382585e+00
 -1.2633832e+00 -2.3250835e+00 -2.1899707e+00 -2.3370786e-01
 -6.0790896e+00 -2.8276613e+00 -2.9285379e-02  1.0266888e+01
 -2.6003857e+00 -4.7963172e-01  1.4051251e+00 -2.7752218e+00
  5.6415749e+00  4.0607409e+00  3.1871245e+00  1.0498699e+00
  1.7653868e+00 -5.0147641e-01  2.6687460e+00 -4.5292449e+00
 -3.1150753e+00 -3.8395441e+00 -2.1078281e+00 -2.2721519e+00
 -2.1592441e+00 -1.6543990e+00]",13.820549072265628,"['C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'N' 'C' 'O' 'C' 'C' 'O' 'C' 'O' 'C'
 'C' 'C' 'O' 'C' 'C' 'C' 'O' 'C' 'C' 'O' 'C' 'O' 'C' 'O' 'C' 'O' 'O' 'C'
 'C' 'C' 'C' 'C' 'C' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,1,155.19008,134.31894,55.085938,13.820549072265628
34,0,,"[ -3.0141757   -6.9441514  -12.972776    15.535452     1.3606097
  -3.5708642    5.8090677  -14.387191     7.126191    -8.063272
  -5.6378007   -9.293447   -13.980289    -0.7019287   -8.078754
  10.452114   -10.807502   -14.953647     2.0002759   -7.230986
  -2.465484    -3.5426767   -5.966264    -4.2647266   -0.45387548
   8.971228     6.4358463   -4.4008512   -1.9856225   -3.5282955
   1.9963206    5.7646675   -2.3896425   -0.5926192   -0.93704236
  -6.05815     -0.6104173   -1.5794778   -1.2223444    1.3460351
   8.125909    -3.0796268   -0.9210157    7.10597     -0.44608644
  -1.0947417    4.9131308   -0.94035524  -0.82892   ]",0.0,"['C' 'C' 'N' 'N' 'C' 'C' 'C' 'C' 'C' 'F' 'C' 'N' 'C' 'O' 'N' 'C' 'N' 'C'
 'O' 'C' 'C' 'C' 'C' 'C' 'O' 'C' 'C' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H'
 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H' 'H']",0.0,0,1,-77.52603,-80.0022,24.126953,0.0
